t,v,e13,T
160,0.93586,2.10986,41.01622641509433
161,0.92531,2.09931,40.817169811320746
162,0.94051,2.11451,41.10396226415094
163,0.99445,2.16845,42.12169811320754
164,1.008,2.182,42.37735849056603
165,0.95633,2.13033,41.402452830188665
166,0.93632,2.1103199999999998,41.02490566037734
167,1.0163,2.1902999999999997,42.53396226415093
168,0.9786,2.1526,41.82264150943396
169,1.009,2.183,42.39622641509433
170,0.99885,2.17285,42.204716981132066
171,0.99503,2.16903,42.13264150943395
172,0.99869,2.17269,42.201698113207534
173,0.97946,2.15346,41.838867924528294
174,1.0266,2.2005999999999997,42.72830188679244
175,1.0459,2.2199,43.09245283018868
176,1.0027,2.1767,42.27735849056603
177,1.0645,2.2385,43.44339622641509
178,1.0976,2.2716,44.06792452830188
179,1.0746,2.2485999999999997,43.63396226415093
180,1.0938,2.2678000000000003,43.99622641509434
181,1.1062,2.2802,44.23018867924527
182,1.0829,2.2569,43.79056603773584
183,1.0979,2.2719,44.073584905660375
184,1.1373,2.3113,44.81698113207547
185,1.0932,2.2672,43.98490566037735
186,1.1705,2.3445,45.44339622641509
187,1.1872,2.3612,45.758490566037736
188,1.1888,2.3628,45.788679245283014
189,1.179,2.3529999999999998,45.60377358490565
190,1.1365,2.3105,44.801886792452834
191,1.0831,2.2571,43.7943396226415
192,1.1916,2.3655999999999997,45.84150943396226
193,1.1296,2.3036,44.67169811320754
194,1.1144,2.2884,44.384905660377356
195,1.1855,2.3594999999999997,45.726415094339615
196,1.1664,2.3404,45.36603773584905
197,1.2381,2.4120999999999997,46.7188679245283
198,1.2493,2.4233000000000002,46.93018867924528
199,1.2141,2.3880999999999997,46.266037735849046
200,1.196,2.37,45.924528301886795
201,1.1851,2.3590999999999998,45.7188679245283
202,1.2391,2.4131,46.737735849056605
203,1.2146,2.3886,46.2754716981132
204,1.2162,2.3902,46.30566037735849
205,1.2411,2.4151,46.7754716981132
206,1.2148,2.3888,46.27924528301886
207,1.2839,2.4579,47.58301886792453
208,1.2942,2.4682,47.77735849056604
209,1.2692,2.4432,47.30566037735849
210,1.3191,2.4931,48.24716981132076
211,1.3334,2.5073999999999996,48.516981132075465
212,1.3314,2.5054,48.47924528301887
213,1.3665,2.5404999999999998,49.14150943396226
214,1.2919,2.4659,47.73396226415095
215,1.3375,2.5115,48.594339622641506
216,1.3411,2.5151,48.66226415094339
217,1.3197,2.4937,48.258490566037736
218,1.33,2.504,48.45283018867924
219,1.3375,2.5115,48.594339622641506
220,1.4024,2.5764,49.818867924528305
221,1.3557,2.5297,48.93773584905661
222,1.3515,2.5255,48.85849056603774
223,1.4045,2.5785,49.85849056603774
224,1.349,2.5229999999999997,48.811320754716974
225,1.4102,2.5842,49.96603773584906
226,1.5002,2.6742,51.66415094339623
227,1.4589,2.6329000000000002,50.88490566037737
228,1.4367,2.6107,50.466037735849056
229,1.4366,2.6106,50.46415094339623
230,1.4332,2.6071999999999997,50.4
231,1.4097,2.5837,49.95660377358491
232,1.3854,2.5594,49.49811320754718
233,1.4319,2.6059,50.375471698113216
234,1.5304,2.7043999999999997,52.23396226415095
235,1.5434,2.7174,52.47924528301888
236,1.5078,2.6818,51.80754716981132
237,1.4644,2.6384,50.98867924528302
238,1.5102,2.6841999999999997,51.85283018867924
239,1.5698,2.7438000000000002,52.97735849056605
240,1.5608,2.7348,52.80754716981132
241,1.5174,2.6914,51.98867924528302
242,1.454,2.628,50.79245283018869
243,1.5172,2.6912000000000003,51.984905660377365
244,1.5592,2.7332,52.777358490566044
245,1.5325,2.7065,52.273584905660385
246,1.5752,2.7492,53.07924528301888
247,1.6036,2.7775999999999996,53.615094339622644
248,1.5648,2.7388,52.883018867924534
249,1.5832,2.7572,53.23018867924529
250,1.5454,2.7194000000000003,52.516981132075486
251,1.5931,2.7671,53.41698113207548
252,1.601,2.775,53.566037735849065
253,1.6085,2.7824999999999998,53.70754716981132
254,1.5644,2.7384,52.875471698113216
255,1.6327,2.8067,54.16415094339624
256,1.5329,2.7069,52.2811320754717
257,1.6132,2.7872,53.796226415094345
258,1.5486,2.7226,52.57735849056604
259,1.5398,2.7138,52.41132075471699
260,1.5795,2.7535,53.16037735849057
261,1.5988,2.7728,53.524528301886804
262,1.5994,2.7733999999999996,53.53584905660377
263,1.6042,2.7782,53.62641509433963
264,1.6001,2.7741,53.549056603773586
265,1.6172,2.7912,53.87169811320755
266,1.5962,2.7702,53.47547169811321
267,1.5533,2.7272999999999996,52.66603773584906
268,1.5838,2.7578,53.24150943396227
269,1.6068,2.7808,53.67547169811322
270,1.523,2.697,52.09433962264151
271,1.5732,2.7472,53.04150943396227
272,1.6273,2.8013,54.062264150943406
273,1.5617,2.7357,52.8245283018868
274,1.5589,2.7329,52.77169811320755
275,1.5488,2.7228,52.5811320754717
276,1.6328,2.8068,54.16603773584906
277,1.5905,2.7645,53.36792452830189
278,1.6225,2.7965,53.97169811320755
279,1.6001,2.7741,53.549056603773586
280,1.4809,2.6549,51.300000000000004
281,1.5598,2.7338,52.78867924528303
282,1.626,2.8,54.03773584905661
283,1.6086,2.7826,53.70943396226416
284,1.4795,2.6535,51.273584905660385
285,1.5789,2.7529,53.14905660377359
286,1.5478,2.7218,52.5622641509434
287,1.6024,2.7763999999999998,53.592452830188684
288,1.6095,2.7835,53.72641509433963
289,1.6584,2.8324,54.64905660377359
290,1.5566,2.7306,52.72830188679246
291,1.5829,2.7569,53.2245283018868
292,1.5852,2.7592,53.26792452830189
